pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,archetype,cluster,IVB,HB,velocity,spin_rate,extension,release_height,release_side,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,stuff_plus_rank,stuff_plus_pitch_type_rank,stuff_plus_model_type,stuff_plus_model_pitch_type
"Binns, Malik",702238.0,NEW_JER6,Four-Seam,R,48,27,53.07168361791713,68.82776686313032,477,124,72,Soft-Speed Separation,0,13.728323636363635,7.518496868686869,91.26180868686868,2101.983876767677,6.524284747474748,6.029718383838384,0.9655309090909092,48.02960984169237,43.745142801156284,23.14996725605763,1174,403,pitch_type_specific,Four-Seam
"Binns, Malik",702238.0,NEW_JER6,Four-Seam,L,51,27,44.35662726513896,22.52783235101506,1184,397,190,Soft-Speed Separation,0,13.728323636363635,7.518496868686869,91.26180868686868,2101.983876767677,6.524284747474748,6.029718383838384,0.9655309090909092,48.02960984169237,43.745142801156284,23.14996725605763,1175,404,pitch_type_specific,Four-Seam
"Moore, Kyle",1000517760.0,SCH_BOO,Changeup,L,85,25,48.74325769101762,47.67518009168304,800,101,59,Tight High-Spin Breakers,1,9.858535319148936,16.35876659574468,82.5866670212766,2030.5604265957447,4.681901382978723,6.094714255319149,2.3081597872340422,48.019434157180385,43.707979376904504,23.051735428945644,1176,159,pitch_type_specific,Changeup
"Andueza, Axel",672847.0,DOW_EAS1,Four-Seam,R,188,148,49.40229567899591,50.4256712508186,758,222,123,Soft-Speed Separation,0,13.847825774336282,7.795637234513274,90.56657495575222,2125.4006940265485,5.523745442477876,5.976560663716814,1.01723342920354,48.01918797332228,43.70708026931604,22.95350360183366,1177,405,pitch_type_specific,Four-Seam
"Andueza, Axel",672847.0,DOW_EAS1,Four-Seam,L,264,148,45.35651953287934,27.89783889980353,1102,364,174,Soft-Speed Separation,0,13.847825774336282,7.795637234513274,90.56657495575222,2125.4006940265485,5.523745442477876,5.976560663716814,1.01723342920354,48.01918797332228,43.70708026931604,22.95350360183366,1178,406,pitch_type_specific,Four-Seam
"Brown, Ethan",690384.0,WAS_WIL3,Four-Seam,L,25,25,58.42482245363793,86.83693516699411,202,35,14,Soft-Speed Separation,0,12.73733656716418,-10.77735776119403,90.37331104477612,2076.754858208956,6.087360149253732,5.5026225373134325,-1.867450597014925,48.01509171152841,43.6921199868198,22.822527832351014,1179,407,pitch_type_specific,Four-Seam
"Brown, Ethan",690384.0,WAS_WIL3,Four-Seam,R,42,25,53.593260794900814,71.38179436804192,438,113,65,Soft-Speed Separation,0,12.73733656716418,-10.77735776119403,90.37331104477612,2076.754858208956,6.087360149253732,5.5026225373134325,-1.867450597014925,48.01509171152841,43.6921199868198,22.822527832351014,1180,408,pitch_type_specific,Four-Seam
"Serratos, Oscar",8898893.0,WIN_CIT29,Four-Seam,R,44,31,47.33731950018962,39.8166339227243,920,289,159,Soft-Speed Separation,0,13.03680125,10.091695,91.653820625,2203.87329375,5.60597525,5.913453125,1.6893258750000002,48.007109831354384,43.66296872934077,22.691552062868368,1181,409,pitch_type_specific,Four-Seam
"Serratos, Oscar",8898893.0,WIN_CIT29,Four-Seam,L,36,31,44.38702599543768,22.72429600523903,1181,395,189,Soft-Speed Separation,0,13.03680125,10.091695,91.653820625,2203.87329375,5.60597525,5.913453125,1.6893258750000002,48.007109831354384,43.66296872934077,22.691552062868368,1182,410,pitch_type_specific,Four-Seam
"Westcott, Zac",686170.0,FLO_Y'A,Curveball,R,117,44,28.467494970129827,0.3929273084479371,1522,158,85,Tight High-Spin Breakers,1,-15.222359877300612,-9.16518208588957,67.09701552147239,1872.2270214723928,5.48063263803681,5.589307423312883,2.044855828220859,48.00156951388371,43.64273449660589,22.560576293385722,1183,147,pitch_type_specific,Curveball
