leaderboard,leaderboard_rank,pitcher_name,pitcher_team,pitch_type,batter_side,pitch_count,split_batted_ball_count,split_terminal_pa_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,final_pitch_score_20_80,raw_pitch_score_20_80,groundball_score_20_80,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,stuff_plus_20_80,execution_plus_20_80,movement_quality_20_80,archetype,platoon_category,quadrant_label,overall_rank,pitch_type_rank,pitch_type_batter_side_rank
Best Overall Pitches,1457,"Tomczak, Anthony",EVA_OTT,Sinker,L,44,12,12,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,37.8168081129789,36.38844005955349,46.71511537025113,938,86,59.21371643327984,277,9,45.319498580996566,1124,97,49.79270515202998,759,72,41.14966690430487,42.61672211908285,36.11815543556602,21.05509964830012,Soft-Speed Separation,Balanced Weapon,Low Priority,1457,239,117
Best Overall Pitches,1458,"O'Hanlon, Michael",WAS_WIL3,Four-Seam,L,62,17,18,0.1111111111111111,0.4117647058823529,0.1764705882352941,0.4117647058823529,37.814717815670456,33.76378403842879,51.560745066308215,631,47,44.0646988356588,1057,153,52.21813602155992,635,77,50.10233440106008,732,64,47.26689662923436,43.20956904637143,35.88769772859462,38.49941383352872,Soft-Speed Separation,Balanced Weapon,Low Priority,1458,485,236
Best Overall Pitches,1459,"Toribio, Noe",TRO_AIG,Sinker,L,253,86,64,0.0625,0.3255813953488372,0.2441860465116279,0.4302325581395348,37.80754908745045,36.62187657715529,46.23618685378037,963,90,40.7508512361792,1283,98,45.86497223908762,1051,92,48.93582420703972,822,77,40.57411827813916,28.481337094686225,41.53017510351745,24.572098475967174,Soft-Speed Separation,Balanced Weapon,Low Priority,1459,240,118
Best Overall Pitches,1460,"Puccetti, Dominic",OTT_TIT,Changeup,R,97,25,26,0.3076923076923077,0.32,0.2,0.48,37.74222806597789,35.49953889810839,45.89135832192142,973,73,57.46575286432357,309,16,50.010572040579646,812,54,45.792295254561125,1011,71,42.9751694576734,39.23000911709727,37.3134006301738,48.2063305978898,Soft-Speed Separation,Balanced Weapon,Low Priority,1460,182,82
Best Overall Pitches,1461,"Sabatine, Gino",TRI_VAL,Changeup,R,88,30,23,0.0869565217391304,0.5666666666666667,0.2,0.2333333333333333,37.72562112586162,37.06304698169807,61.13086371602097,205,18,42.4180664880913,1185,68,50.010572040579646,817,55,61.37283906575561,199,18,39.27162746224326,39.86064047395719,37.04809423527345,35.19343493552169,Soft-Speed Separation,Balanced Weapon,Low Priority,1461,183,83
Best Overall Pitches,1462,"Gorgen, Grady",NEW_YOR13,Curveball,L,45,11,13,0.0769230769230769,0.6363636363636364,0.1818181818181818,0.1818181818181818,37.70578277793107,36.75540627040609,65.43686646865352,107,17,41.7340807437171,1226,71,51.71641693497349,683,34,64.62676099192646,120,21,39.92332796215604,54.61698442054431,31.356972946984342,63.89214536928488,Tight High-Spin Breakers,Balanced Weapon,Development Target,1462,150,69
Best Overall Pitches,1463,"Grounds, Jackson",TRO_AIG,Sinker,L,25,14,5,0.0,0.2142857142857142,0.2857142857142857,0.5,37.65699391282864,43.23055168706419,39.3601417244502,1323,114,36.49019003684828,1526,130,41.96873182415151,1249,105,44.52900791851833,1124,107,24.652025772945684,34.48075948064326,39.01663818747194,22.46189917936694,Soft-Speed Separation,Right-Handed Killer,Low Priority,1463,241,119
Best Overall Pitches,1464,"Miner, Jace",DOW_EAS1,Sinker,L,34,6,9,0.1111111111111111,0.5,0.3333333333333333,0.1666666666666666,37.62895761637108,35.65717176438085,57.01207847437245,374,36,44.0646988356588,1078,73,37.501042815024775,1388,122,65.58379685256494,98,9,42.22979127101495,28.61671862944248,41.22789194604026,38.00703399765533,Soft-Speed Separation,Balanced Weapon,Low Priority,1464,242,120
Best Overall Pitches,1465,"Gorgen, Grady",NEW_YOR13,Slider,R,71,20,24,0.0833333333333333,0.4,0.4,0.2,37.61795953390444,34.388211996494675,50.83390061189966,683,82,42.171071635956174,1197,158,31.246278202247336,1468,174,63.47831795916028,139,12,45.15403712119388,58.6757371358086,29.67617177038836,60.30480656506448,Tight High-Spin Breakers,Balanced Weapon,Development Target,1465,319,177
Best Overall Pitches,1466,"Burcham, Jacob",GAT_GRI,Four-Seam,L,53,21,14,0.0714285714285714,0.5238095238095238,0.1904761904761904,0.2857142857142857,37.59124151644277,36.17598526636243,58.48307320353263,276,13,41.3595171217979,1249,197,50.90410984240499,728,95,58.06422937611972,322,20,40.89350609996357,44.763768046348986,34.97797533433264,27.94841735052755,Soft-Speed Separation,Balanced Weapon,Low Priority,1466,486,237
Best Overall Pitches,1467,"Brodsky, Jack",WAS_WIL3,Curveball,L,51,8,11,0.4545454545454545,0.375,0.375,0.25,37.47460154907053,36.33404978222284,49.289356146281456,778,53,67.47681694107314,99,17,33.59181493203887,1447,68,60.32009961905328,252,26,40.13588900504846,49.976705841677465,32.81381986628868,77.88980070339974,Tight High-Spin Breakers,Balanced Weapon,Low Priority,1467,151,70
Best Overall Pitches,1468,"Manning, Noah",WIN_CIT29,Sinker,R,25,5,4,0.0,0.6,0.0,0.4,37.30329321770042,36.50786161086205,63.19025633684523,156,24,36.49019003684828,1504,126,68.77486587891195,99,8,50.84544459873232,704,88,39.1593003003233,40.57274349098642,36.18283536753171,23.51699882766706,Soft-Speed Separation,Balanced Weapon,Low Priority,1468,243,123
